iter	RMSE
0	0.346278148
1	0.3440883457
2	0.3425951151
3	0.3411932072
4	0.3387788264
5	0.3375742001
6	0.336560711
7	0.3354853882
8	0.3341990933
9	0.3330383092
10	0.3321112813
11	0.3310903818
12	0.3299195093
13	0.3291541328
14	0.3280844125
15	0.3269535363
16	0.3257219048
17	0.3251346041
18	0.3244382845
19	0.3239303498
20	0.3231886581
21	0.3224099486
22	0.3217130567
23	0.3204188948
24	0.3195748874
25	0.3190326583
26	0.3177412951
27	0.3170530815
28	0.3163350664
29	0.3155294062
30	0.314609166
31	0.3139121449
32	0.3134035172
33	0.312910164
34	0.3125397339
35	0.3120545046
36	0.311542666
37	0.3107826095
38	0.3104185124
39	0.3100258161
40	0.3096768394
41	0.3092024452
42	0.3088767176
43	0.3084380439
44	0.3080646833
45	0.3072256352
46	0.3066758159
47	0.3061261798
48	0.3055553191
49	0.3051987148
50	0.3046331073
51	0.3037915261
52	0.3034472419
53	0.3031732925
54	0.3029115681
55	0.3025455161
56	0.3023339203
57	0.3020437985
58	0.3018032359
59	0.3016080397
60	0.3009824531
61	0.3005535949
62	0.2999871859
63	0.2996802993
64	0.2994350842
65	0.2991980479
66	0.2989270892
67	0.2985076757
68	0.2980907349
69	0.2977923661
70	0.2973892259
71	0.2972266986
72	0.296995285
73	0.2967597296
74	0.2961131739
75	0.2955531843
76	0.2953255408
77	0.2949566566
78	0.29442683
79	0.2938360571
80	0.2936172404
81	0.2933412944
82	0.2931182448
83	0.2928762457
84	0.2925779382
85	0.2923820055
86	0.2921849003
87	0.2919477005
88	0.2917356154
89	0.2911968188
90	0.2908744183
91	0.2905786669
92	0.2903774943
93	0.2899866407
94	0.2897074958
95	0.2894301967
96	0.2889653937
97	0.2886336013
98	0.2881725702
99	0.2878452774
100	0.2874357027
101	0.2871550736
102	0.2865122162
103	0.2862413098
104	0.2860315894
105	0.2854295474
106	0.2852721026
107	0.2851011645
108	0.2849055479
109	0.2847856914
110	0.2845919301
111	0.2843065658
112	0.2838593526
113	0.2836459794
114	0.2834418119
115	0.2832676322
116	0.28285572
117	0.2823851574
118	0.282166084
119	0.2818373279
120	0.2816891904
121	0.2814984376
122	0.2813631816
123	0.2811694969
124	0.2809390821
125	0.2807795242
126	0.2805588062
127	0.2803235681
128	0.2799838046
129	0.2797781165
130	0.2793839017
131	0.2792116886
132	0.278841292
133	0.278695597
134	0.2785337185
135	0.2783866015
136	0.278013559
137	0.2777054366
138	0.277567613
139	0.2772100478
140	0.2769454375
141	0.2768675308
142	0.2765476471
143	0.2762673243
144	0.2761128988
145	0.2758074917
146	0.2756529469
147	0.2753697244
148	0.2751928591
149	0.2750103143
150	0.2747604927
151	0.2745835722
152	0.274413307
153	0.2742253962
154	0.2740412243
155	0.2738643724
156	0.2734654346
157	0.2731970595
158	0.2730319865
159	0.2728025356
160	0.2725166549
161	0.2723461719
162	0.2721560367
163	0.2719167979
164	0.2717857101
165	0.2714992164
166	0.2712475194
167	0.2710247313
168	0.2708270679
169	0.2703629197
170	0.2701658289
171	0.2700008619
172	0.2697297974
173	0.2696158823
174	0.2694800799
175	0.2691669684
176	0.2690331701
177	0.2688912867
178	0.2686034122
179	0.2683611185
180	0.268132724
181	0.2678915133
182	0.26761716
183	0.2674141093
184	0.2672095953
185	0.2670774701
186	0.2669152275
187	0.2667958011
188	0.2666678861
189	0.2664891912
190	0.2662937251
191	0.2660995574
192	0.2659314958
193	0.2657700469
194	0.2656381454
195	0.2653824061
196	0.2651815941
197	0.2650859571
198	0.2649439532
199	0.2648382431
200	0.2645863486
201	0.2643028317
202	0.2641139404
203	0.2639537827
204	0.2637075365
205	0.2635300261
206	0.2632698761
207	0.2631057605
208	0.2630006451
209	0.2629095772
210	0.2628045295
211	0.2626684952
212	0.262382445
213	0.262119824
214	0.2620049733
215	0.2616924296
216	0.2615278159
217	0.2612680409
218	0.2611106589
219	0.2609391309
220	0.2606774126
221	0.2605847392
222	0.2602625514
223	0.2600857763
224	0.259883444
225	0.2595355576
226	0.2592910852
227	0.2591767657
228	0.2590399685
229	0.2589012696
230	0.2587721168
231	0.2585869501
232	0.258366569
233	0.2581966709
234	0.2580741062
235	0.2578912866
236	0.2576389584
237	0.2573608575
238	0.2572149802
239	0.2569909435
240	0.2568391254
241	0.2566159513
242	0.256514979
243	0.2563902584
244	0.2562380714
245	0.2561073594
246	0.2558865473
247	0.2557836605
248	0.2555160703
249	0.2553421682
250	0.2552636409
251	0.2551159543
252	0.2549092191
253	0.2547626879
254	0.2546264846
255	0.2545009117
256	0.2543339686
257	0.2540725527
258	0.2539378138
259	0.2537557877
260	0.2536207819
261	0.2534250409
262	0.2532834088
263	0.2531787677
264	0.2530275783
265	0.2529027711
266	0.2526991784
267	0.2525993627
268	0.2524411058
269	0.252342688
270	0.2522250191
271	0.2521017179
272	0.251999822
273	0.2517778203
274	0.2516728782
275	0.251490152
276	0.2513145401
277	0.2511304332
278	0.2510374732
279	0.2508259327
280	0.2507426504
281	0.250540287
282	0.250402615
283	0.2502555647
284	0.2500752074
285	0.2498560824
286	0.2497402064
287	0.2496584013
288	0.2495454341
289	0.2493929342
290	0.2492456559
291	0.2491541374
292	0.2490174523
293	0.2488679275
294	0.2487685603
295	0.2486252207
296	0.2485022742
297	0.2483479375
298	0.248233952
299	0.2480337312
300	0.247902267
301	0.2478007294
302	0.2476480653
303	0.2475270476
304	0.2472504992
305	0.247030577
306	0.2468668776
307	0.2467815782
308	0.2466618876
309	0.2465052773
310	0.2464134777
311	0.246266422
312	0.2461049218
313	0.2459596317
314	0.2457839365
315	0.2456416862
316	0.2455078852
317	0.2453977014
318	0.2452469362
319	0.245107938
320	0.2449836719
321	0.2448712395
322	0.2447003568
323	0.2446066164
324	0.2445159467
325	0.2443805838
326	0.2442412554
327	0.2441142602
328	0.2440107735
329	0.2438417682
330	0.2437320671
331	0.2436481065
332	0.2434998788
333	0.2433601699
334	0.2432240102
335	0.2430480154
336	0.2429151669
337	0.242733528
338	0.242603251
339	0.2425274335
