iter	Passed	Remaining
0	20	19985
1	43	21519
2	68	22791
3	85	21199
4	134	26689
5	164	27327
6	193	27443
7	216	26832
8	251	27700
9	273	27106
10	294	26472
11	323	26639
12	367	27871
13	392	27610
14	408	26854
15	428	26360
16	452	26181
17	481	26264
18	508	26231
19	529	25956
20	559	26091
21	592	26320
22	602	25587
23	628	25572
24	649	25322
25	666	24950
26	683	24642
27	719	24978
28	746	24986
29	765	24738
30	786	24588
31	803	24293
32	827	24234
33	841	23900
34	861	23754
35	889	23811
36	909	23675
37	929	23531
38	944	23269
39	963	23112
40	989	23133
41	1007	22983
42	1029	22920
43	1044	22696
44	1068	22680
45	1083	22472
46	1106	22426
47	1124	22302
48	1142	22166
49	1161	22067
50	1178	21923
51	1196	21814
52	1214	21707
53	1227	21508
54	1248	21458
55	1278	21551
56	1302	21550
57	1322	21473
58	1336	21321
59	1351	21170
60	1364	21000
61	1378	20860
62	1402	20854
63	1417	20725
64	1434	20634
65	1452	20556
66	1477	20577
67	1491	20436
68	1512	20408
69	1531	20340
70	1550	20281
71	1575	20303
72	1593	20239
73	1608	20122
74	1628	20088
75	1645	20005
76	1661	19915
77	1683	19901
78	1714	19992
79	1741	20030
80	1759	19963
81	1775	19873
82	1792	19799
83	1809	19733
84	1831	19719
85	1849	19656
86	1864	19569
87	1890	19596
88	1910	19557
89	1926	19476
90	1940	19388
91	1961	19361
92	1982	19332
93	1994	19221
94	2015	19198
95	2037	19182
96	2055	19137
97	2070	19060
98	2084	18974
99	2101	18913
100	2119	18868
101	2141	18852
102	2156	18782
103	2179	18779
104	2201	18764
105	2222	18741
106	2255	18820
107	2274	18784
108	2292	18738
109	2308	18676
110	2324	18620
111	2340	18557
112	2359	18519
113	2388	18559
114	2398	18458
115	2419	18438
116	2438	18405
117	2452	18330
118	2474	18322
119	2489	18258
120	2508	18219
121	2531	18220
122	2548	18172
123	2567	18134
124	2587	18113
125	2605	18073
126	2620	18011
127	2634	17948
128	2649	17888
129	2661	17810
130	2683	17800
131	2703	17779
132	2724	17762
133	2740	17712
134	2765	17717
135	2794	17755
136	2814	17731
137	2831	17688
138	2852	17671
139	2866	17608
140	2884	17570
141	2903	17542
142	2920	17502
143	2935	17450
144	2951	17405
145	2979	17429
146	2999	17408
147	3023	17406
148	3043	17384
149	3066	17377
150	3084	17342
151	3114	17374
152	3145	17415
153	3158	17351
154	3179	17332
155	3196	17295
156	3216	17273
157	3238	17257
158	3263	17263
159	3287	17257
160	3311	17256
161	3328	17216
162	3351	17212
163	3367	17163
164	3382	17116
165	3399	17077
166	3419	17056
167	3429	16985
168	3466	17045
169	3487	17026
170	3518	17055
171	3532	17006
172	3550	16971
173	3573	16962
174	3586	16906
175	3602	16867
176	3619	16827
177	3633	16781
178	3651	16747
179	3670	16722
180	3684	16672
181	3705	16653
182	3723	16621
183	3738	16579
184	3749	16516
185	3764	16476
186	3787	16464
187	3804	16430
188	3832	16444
189	3844	16390
190	3861	16353
191	3873	16302
192	3899	16303
193	3914	16263
194	3929	16219
195	3946	16187
196	3962	16152
197	3975	16102
198	3990	16062
199	4005	16022
200	4025	16003
201	4043	15973
202	4060	15942
203	4081	15926
204	4100	15901
205	4117	15868
206	4133	15834
207	4150	15802
208	4169	15781
209	4188	15758
210	4200	15706
211	4222	15694
212	4248	15696
213	4265	15668
214	4277	15617
215	4294	15587
216	4310	15553
217	4323	15508
218	4337	15469
219	4355	15440
220	4374	15418
221	4391	15390
222	4405	15351
223	4424	15328
224	4447	15320
225	4464	15290
226	4478	15251
227	4497	15228
228	4518	15213
229	4539	15195
230	4552	15156
231	4576	15149
232	4590	15112
233	4606	15078
234	4623	15051
235	4639	15019
236	4653	14980
237	4665	14936
238	4678	14897
239	4698	14877
240	4711	14838
241	4730	14816
242	4744	14781
243	4759	14746
244	4771	14705
245	4784	14664
246	4800	14635
247	4810	14587
248	4822	14546
249	4842	14526
250	4866	14521
251	4877	14477
252	4897	14459
253	4914	14434
254	4936	14422
255	4946	14375
256	4961	14343
257	4979	14319
258	4993	14285
259	5013	14269
260	5034	14255
261	5050	14226
262	5064	14191
263	5084	14174
264	5106	14162
265	5120	14129
266	5142	14117
267	5161	14098
268	5181	14079
269	5200	14059
270	5242	14101
271	5258	14074
272	5270	14034
273	5286	14006
274	5303	13981
275	5314	13939
276	5331	13915
277	5351	13897
278	5367	13870
279	5385	13848
280	5402	13824
281	5420	13802
282	5433	13765
283	5447	13734
284	5468	13719
285	5490	13706
286	5508	13684
287	5522	13651
288	5537	13624
289	5557	13606
290	5571	13575
291	5588	13550
292	5604	13523
293	5618	13491
294	5636	13469
295	5654	13447
296	5669	13420
297	5684	13391
298	5704	13375
299	5722	13352
300	5738	13326
301	5752	13296
302	5763	13258
303	5775	13223
304	5789	13191
305	5799	13153
306	5811	13118
307	5824	13085
308	5837	13054
309	5849	13019
310	5860	12983
311	5877	12961
312	5898	12946
313	5914	12921
314	5930	12897
315	5942	12863
316	5959	12840
317	5980	12827
318	5996	12801
319	6010	12773
320	6026	12747
321	6048	12736
322	6063	12709
323	6076	12677
324	6093	12655
325	6106	12625
326	6120	12595
327	6142	12584
328	6156	12555
329	6173	12534
330	6188	12508
331	6202	12479
332	6217	12453
333	6232	12428
334	6254	12415
335	6268	12387
336	6286	12368
337	6304	12347
338	6319	12322
339	6334	12296
340	6353	12279
341	6366	12249
342	6377	12215
343	6390	12186
344	6408	12166
345	6425	12146
346	6444	12128
347	6477	12136
348	6493	12113
349	6511	12093
350	6531	12077
351	6548	12055
352	6573	12047
353	6588	12022
